an,annai,tenure,n_individuals,n_eqtp
2014,1946,5,176,60.997252747252745
2016,1950,9,176,85.89684065934065
2018,1950,7,178,65.99450549450549
2013,1946,5,179,72.87142857142857
2015,1948,6,182,63.036813186813184
2016,1948,5,182,63.57048205700549
2018,1950,6,182,60.05714285714286
2014,1946,4,183,54.87032967032967
2014,1948,9,184,95.75549450549451
2013,1946,7,185,74.1521978021978
2013,1988,9,191,166.1769230769231
2017,1992,9,192,168.2098901098901
2019,1948,3,193,57.83516483516483
2005,1978,10,194,177.8434065934066
2018,1952,8,195,87.16978021978022
2019,1952,6,195,83.04230769230769
2002,1976,9,196,169.4934065934066
2017,1952,9,197,121.68131868131869
2010,1946,7,198,129.10494505494506
2017,1950,7,198,76.3021978021978
2016,1946,2,202,52.98556297218406
2016,1950,7,203,83.96536315247253
2008,1982,10,207,195.95934065934065
2015,1948,5,209,80.11538461538461
2017,1946,2,209,49.786813186813184
2007,1946,8,210,150.91923076923078
2012,1946,7,210,102.49560439560439
2007,1946,9,212,146.4269230769231
2015,1946,3,212,52.39120879120879
2019,1952,7,213,77.18241758241759
2017,1948,3,215,57.776373626373626
2006,1980,9,216,194.63681318681319
2012,1946,5,216,85.29615384615384
2014,1948,7,217,99.22967032967033
2011,1946,7,218,118.66923076923077
2013,1948,9,218,133.18076923076924
2019,1954,9,218,124.65714285714286
2014,1948,6,220,90.01703296703296
2013,1946,4,224,75.22582417582417
2012,1948,9,228,150.02472527472528
2015,1946,2,228,60.6967032967033
2016,1948,4,228,70.97035059666895
2013,1948,7,229,121.56538461538462
2019,1994,9,229,205.05274725274725
2015,1950,7,230,106.82637362637362
2017,1952,8,230,129.00824175824175
2018,1954,9,231,121.87637362637362
2018,1950,4,234,74.67362637362638
2019,1952,5,235,78.96373626373627
2017,1950,6,237,85.76483516483516
2015,1948,4,238,87.83241758241758
2016,1952,8,238,156.28607593578297
2008,1946,6,239,161.39120879120878
2007,1946,7,240,160.4346153846154
2010,1948,8,241,169.12362637362637
2014,1946,3,242,74.47142857142858
2017,1950,5,246,83.46098901098901
2018,1948,3,246,83.82252747252747
2019,1994,10,248,229.08241758241758
2017,1950,4,249,90.07527472527472
2012,1946,4,251,99.08516483516483
2018,1952,7,251,100.66098901098901
2001,1976,8,255,208.32032967032967
2017,1952,7,255,131.73461538461538
2009,1948,9,257,185.30769230769232
2005,1980,8,258,229.06593406593407
2011,1986,10,258,237.94725274725275
2015,1950,8,258,137.7434065934066
2016,1948,3,258,81.42251459478022
2012,1946,6,263,102.87967032967033
2014,1948,5,263,88.59010989010989
2019,1950,4,264,90.08296703296703
2013,1946,3,265,74.50604395604395
2009,1946,6,266,178.84945054945055
2013,1948,8,267,148.81153846153848
2010,1984,10,268,251.92472527472526
2008,1982,9,269,240.6489010989011
2005,1978,9,274,245.11263736263737
2012,1948,8,274,166.72967032967034
2015,1990,9,274,246.24505494505493
